title,magnitude,cdi,mmi,alert,tsunami,sig,net,nst,dmin,gap,magType,depth,latitude,longitude,location,continent,country,day,month,year
"M 7.2 - 93km NNE of Laiwui, Indonesia",7.2,7,7,green,1,809,us,0,1.504,38.0,mww,18.98,-0.59,128.03,"Laiwui, Indonesia",Asia,Indonesia,14,7,2019
"M 6.6 - 200km W of Broome, Australia",6.6,5,5,green,0,791,us,0,2.978,32.0,mww,10.0,-18.22,120.36,"Broome, Australia",Oceania,Australia,14,7,2019
"M 6.9 - 134km WSW of Kota Ternate, Indonesia",6.9,7,5,green,0,747,us,0,1.205,21.0,mww,35.0,0.51,126.19,"Kota Ternate, Indonesia",Asia,Indonesia,7,7,2019
"M 7.1 - 18km W of Searles Valley, CA",7.1,9,9,yellow,0,1646,ci,77,0.04616,43.0,mw,8.0,35.77,-117.6,"Searles Valley, CA",North America,United States,6,7,2019
"M 7.3 - 292km NW of Saumlaki, Indonesia",7.3,4,6,green,1,952,us,0,2.629,16.0,mww,212.0,-6.41,129.17,"Saumlaki, Indonesia",Asia,Indonesia,24,6,2019
"M 7.3 - 116km NE of L'Esperance Rock, New Zealand",7.3,8,6,green,1,830,us,0,1.402,11.0,mww,46.0,-30.64,-178.1,"L'Esperance Rock, New Zealand",Oceania,New Zealand,15,6,2019
"M 6.6 - 32 km S of La Libertad, El Salvador",6.6,7,6,yellow,1,886,us,0,1.193,22.0,mww,57.92,13.2,-89.31,"La Libertad, El Salvador",North America,El Salvador,30,5,2019
"M 8.0 - 78 km NE of Navarro, Peru",8.0,9,8,orange,1,1890,us,0,3.18,17.0,mww,122.57,-5.81,-75.27,"Navarro, Peru",South America,Peru,26,5,2019
"M 7.6 - 46km SSE of Namatanai, Papua New Guinea",7.6,7,7,green,1,929,us,0,0.453,16.0,mww,10.0,-4.05,152.6,"Namatanai, Papua New Guinea",Oceania,Papua New Guinea,14,5,2019
"M 7.1 - 33km NW of Bulolo, Papua New Guinea",7.1,7,6,yellow,1,826,us,0,2.514,16.0,mww,146.0,-6.97,146.45,"Bulolo, Papua New Guinea",Oceania,Papua New Guinea,6,5,2019
"M 6.8 - 98km SSW of Luwuk, Indonesia",6.8,5,6,green,1,717,us,0,0.791,28.0,mww,15.46,-1.81,122.58,"Luwuk, Indonesia",Asia,Indonesia,12,4,2019
"M 6.5 - 83km ENE of Bristol Island, South Sandwich Islands",6.5,0,5,green,1,650,us,0,7.568,18.0,mww,38.0,-58.63,-25.3,"Bristol Island, South Sandwich Islands",Europe,United Kingdom,9,4,2019
"M 7.0 - 22 km NNE of Azángaro, Peru",7.0,7,4,green,1,869,us,0,2.501,42.0,mww,267.0,-14.71,-70.15,"Azángaro, Peru",South America,Peru,1,3,2019
"M 7.5 - 111km ESE of Palora, Ecuador",7.5,7,7,yellow,1,1145,us,0,2.045,15.0,mww,145.0,-2.19,-77.05,"Palora, Ecuador",South America,Ecuador,22,2,2019
"M 6.7 - 5 km SW of Puerto Madero, Mexico",6.7,6,6,yellow,1,909,us,0,0.289,43.0,mww,66.0,14.68,-92.45,"Puerto Madero, Mexico",North America,Mexico,1,2,2019
"M 6.7 - 10 km SSW of Coquimbo, Chile",6.7,8,8,orange,1,1600,us,0,0.173,22.0,mww,63.0,-30.04,-71.38,"Coquimbo, Chile",South America,Chile,20,1,2019
"M 6.6 - 94 km NW of Sola, Vanuatu",6.6,5,4,green,1,671,us,0,7.818,18.0,mww,35.0,-13.34,166.88,"Sola, Vanuatu",Oceania,Vanuatu,15,1,2019
M 6.6 - Molucca Sea,6.6,2,4,green,1,672,us,0,1.596,33.0,mww,43.21,2.26,126.76,Molucca Sea,Asia,Indonesia,6,1,2019
"M 6.8 - 90km W of Tarauaca, Brazil",6.8,3,3,green,0,715,us,0,1.181,16.0,mww,570.41,-8.14,-71.59,"Tarauaca, Brazil",South America,Brazil,5,1,2019
"M 7.0 - 96 km ESE of Pondaguitan, Philippines",7.0,5,5,green,1,803,us,0,1.769,21.0,mww,60.21,5.9,126.92,"Pondaguitan, Philippines",Asia,Philippines,29,12,2018
"M 7.3 - 187 km SE of Ust’-Kamchatsk Staryy, Russia",7.3,3,7,green,1,822,us,0,4.126,23.0,mww,16.56,55.1,164.7,"Ust’-Kamchatsk Staryy, Russia",Europe,Russian Federation,20,12,2018
M 7.1 - South Sandwich Islands region,7.1,0,5,green,1,776,us,0,7.043,20.0,mww,133.0,-58.54,-26.39,South Sandwich Islands region,Europe,United Kingdom,11,12,2018
"M 6.6 - 199 km ESE of Tadine, New Caledonia",6.6,0,4,green,1,670,us,0,2.679,31.0,mww,10.0,-22.06,169.73,"Tadine, New Caledonia",Europe,France,5,12,2018
"M 7.5 - 166 km ESE of Tadine, New Caledonia",7.5,3,6,green,1,871,us,0,2.405,18.0,mww,10.0,-21.95,169.43,"Tadine, New Caledonia",Europe,France,5,12,2018
"M 7.1 - 1 km SE of Point MacKenzie, Alaska",7.1,8,8,orange,1,1790,ak,0,0.0,0.0,mw,46.7,61.35,-149.96,"Point MacKenzie, Alaska",North America,United States,30,11,2018
"M 6.8 - 187 km E of Levuka, Fiji",6.8,0,3,green,1,711,us,0,2.879,39.0,mww,540.0,-17.87,-178.93,"Levuka, Fiji",Oceania,Fiji,18,11,2018
"M 6.7 - 120 km NW of Olonkinbyen, Svalbard and Jan Mayen",6.7,3,4,green,1,693,us,0,7.853,19.0,mww,10.0,71.63,-11.24,"Olonkinbyen, Svalbard and Jan Mayen",Europe,Norway,9,11,2018
"M 6.8 - 32 km SW of Lithakiá, Greece",6.8,8,7,yellow,0,954,us,0,2.268,15.0,mww,14.0,37.52,20.56,"Lithakiá, Greece",Europe,Greece,25,10,2018
"M 6.5 - 237 km SW of Port McNeill, Canada",6.5,2,4,green,0,655,us,0,1.692,68.0,mww,10.0,49.3,-129.72,"Port McNeill, Canada",North America,Canada,22,10,2018
"M 6.8 - 210 km SW of Port McNeill, Canada",6.8,4,4,green,1,776,us,0,1.505,36.0,mww,10.0,49.33,-129.29,"Port McNeill, Canada",North America,Canada,22,10,2018
"M 6.5 - 223 km SW of Port McNeill, Canada",6.5,3,4,green,1,669,us,0,1.611,63.0,mww,10.0,49.26,-129.41,"Port McNeill, Canada",North America,Canada,22,10,2018
"M 6.5 - 171 km E of Tadine, New Caledonia",6.5,0,4,green,1,650,us,0,2.109,22.0,mww,17.0,-21.74,169.52,"Tadine, New Caledonia",Europe,France,16,10,2018
"M 6.7 - 269 km WNW of Ozernovskiy, Russia",6.7,0,3,green,1,691,us,0,2.705,17.0,mww,461.0,52.85,153.24,"Ozernovskiy, Russia",Europe,Russian Federation,13,10,2018
"M 6.5 - 154 km S of Severo-Kuril’sk, Russia",6.5,0,4,green,1,650,us,0,3.923,14.0,mww,20.0,49.29,156.3,"Severo-Kuril’sk, Russia",Europe,Russian Federation,10,10,2018
"M 7.0 - 119 km E of Kimbe, Papua New Guinea",7.0,6,6,green,1,758,us,0,1.778,18.0,mww,39.0,-5.7,151.21,"Kimbe, Papua New Guinea",Oceania,Papua New Guinea,10,10,2018
"M 6.7 - 279 km E of Levuka, Fiji",6.7,2,3,green,1,691,us,0,3.745,23.0,mww,550.0,-18.36,-178.06,"Levuka, Fiji",Oceania,Fiji,30,9,2018
"M 7.5 - 72 km N of Palu, Indonesia",7.5,8,8,red,0,2026,us,0,1.649,13.0,mww,20.0,-0.26,119.85,"Palu, Indonesia",Asia,Indonesia,28,9,2018
M 6.5 - south of the Fiji Islands,6.5,4,1,green,0,651,us,0,5.139,18.0,mww,576.0,-25.42,178.2,the Fiji Islands,Oceania,Fiji,16,9,2018
"M 6.5 - 66 km NW of Kirakira, Solomon Islands",6.5,3,6,green,1,651,us,0,1.638,25.0,mww,68.0,-10.02,161.5,"Kirakira, Solomon Islands",Oceania,Solomon Islands,9,9,2018
"M 7.9 - 45 km S of Levuka, Fiji",7.9,7,4,green,1,979,us,0,1.431,12.0,mww,670.81,-18.47,179.35,"Levuka, Fiji",Oceania,Fiji,6,9,2018
"M 6.6 - 27 km ESE of Chitose, Japan",6.6,8,9,orange,1,1075,us,0,1.13,32.0,mww,35.0,42.69,141.93,"Chitose, Japan",Asia,Japan,5,9,2018
"M 7.1 - 238 km ESE of Tadine, New Caledonia",7.1,2,5,green,1,776,us,0,2.548,23.0,mww,21.43,-22.03,170.13,"Tadine, New Caledonia",Europe,France,29,8,2018
"M 7.1 - 136 km W of Iñapari, Peru",7.1,0,3,green,0,776,us,0,3.77,12.0,mww,630.0,-11.04,-70.83,"Iñapari, Peru",South America,Peru,24,8,2018
"M 6.5 - 78 km E of Lakatoro, Vanuatu",6.5,6,7,green,1,652,us,0,4.797,10.0,mww,9.0,-16.03,168.14,"Lakatoro, Vanuatu",Oceania,Vanuatu,21,8,2018
"M 7.3 - 40 km ENE of Carúpano, Venezuela",7.3,8,6,yellow,1,1570,us,0,1.822,15.0,mww,146.82,10.77,-62.9,"Carúpano, Venezuela",South America,Venezuela,21,8,2018
"M 6.9 - 20 km NNW of Labuan Lombok, Indonesia",6.9,7,7,green,0,1206,us,0,2.453,31.0,mww,21.0,-8.32,116.63,"Labuan Lombok, Indonesia",Asia,Indonesia,19,8,2018
"M 8.2 - 267 km E of Levuka, Fiji",8.2,5,4,green,1,1050,us,0,3.63,13.0,mww,600.0,-18.11,-178.15,"Levuka, Fiji",Oceania,Fiji,19,8,2018
"M 6.5 - 124 km N of Labuan Bajo, Indonesia",6.5,5,3,green,0,743,us,0,2.719,23.0,mww,529.0,-7.37,119.8,"Labuan Bajo, Indonesia",Asia,Indonesia,17,8,2018
"M 6.5 - 108 km WSW of Adak, Alaska",6.5,6,6,green,1,655,us,0,0.576,22.0,mww,33.93,51.42,-178.03,"Adak, Alaska",North America,United States,15,8,2018
"M 6.9 - 36 km NW of Labuan Lombok, Indonesia",6.9,9,8,orange,0,1704,us,0,2.271,15.0,mww,34.0,-8.26,116.44,"Labuan Lombok, Indonesia",Asia,Indonesia,5,8,2018
"M 6.9 - 18 km SSW of Leilani Estates, Hawaii",6.9,7,8,yellow,1,1392,hv,63,0.11,210.0,mw,5.81,19.32,-155.0,"Leilani Estates, Hawaii",North America,United States,4,5,2018
"M 6.8 - 38 km SE of Boyuibe, Bolivia",6.8,5,3,green,0,733,us,0,5.32,16.0,mww,559.0,-20.66,-63.01,"Boyuibe, Bolivia",South America,Bolivia,2,4,2018
"M 6.9 - 150 km E of Kimbe, Papua New Guinea",6.9,9,6,green,1,741,us,0,1.487,18.0,mww,35.0,-5.53,151.5,"Kimbe, Papua New Guinea",Oceania,Papua New Guinea,29,3,2018
"M 6.7 - 140 km E of Kimbe, Papua New Guinea",6.7,5,6,green,1,696,us,0,1.507,15.0,mww,40.0,-5.5,151.4,"Kimbe, Papua New Guinea",Oceania,Papua New Guinea,26,3,2018
"M 6.8 - 103 km E of Kokopo, Papua New Guinea",6.8,6,6,green,1,719,us,0,1.049,16.0,mww,22.86,-4.38,153.2,"Kokopo, Papua New Guinea",Oceania,Papua New Guinea,8,3,2018
"M 6.7 - 62 km SW of Tari, Papua New Guinea",6.7,8,7,green,1,697,us,0,5.457,19.0,mww,20.49,-6.3,142.61,"Tari, Papua New Guinea",Oceania,Papua New Guinea,6,3,2018
"M 7.5 - 32 km SW of Tari, Papua New Guinea",7.5,9,8,yellow,1,943,us,0,5.48,17.0,mww,25.21,-6.07,142.75,"Tari, Papua New Guinea",Oceania,Papua New Guinea,25,2,2018
"M 7.2 - 4 km S of Pinotepa de Don Luis, Mexico",7.2,7,7,yellow,1,1384,us,0,0.142,82.0,mww,22.0,16.39,-97.98,"Pinotepa de Don Luis, Mexico",North America,Mexico,16,2,2018
"M 7.9 - 261 km SE of Chiniak, Alaska",7.9,9,4,green,1,1870,us,0,2.585,30.0,mww,14.06,56.0,-149.17,"Chiniak, Alaska",North America,United States,23,1,2018
"M 7.1 - 37 km W of Atiquipa, Peru",7.1,9,7,green,1,1075,us,0,4.29,23.0,mww,39.0,-15.77,-74.71,"Atiquipa, Peru",South America,Peru,14,1,2018
"M 7.5 - 203 km NNE of Barra Patuca, Honduras",7.5,8,5,green,1,1623,us,0,4.581,12.0,mww,19.0,17.48,-83.52,"Barra Patuca, Honduras",North America,Honduras,10,1,2018
"M 6.5 - 12 km SSW of Kawalu, Indonesia",6.5,8,7,green,0,998,us,0,2.365,28.0,mww,90.0,-7.49,108.17,"Kawalu, Indonesia",Asia,Indonesia,15,12,2017
"M 7.0 - 85 km ENE of Tadine, New Caledonia",7.0,4,6,green,1,771,us,0,0.617,14.0,mww,10.0,-21.32,168.67,"Tadine, New Caledonia",Europe,France,19,11,2017
"M 6.6 - 74 km E of Tadine, New Caledonia",6.6,4,5,green,1,676,us,0,0.529,21.0,mww,13.0,-21.5,168.6,"Tadine, New Caledonia",Europe,France,19,11,2017
"M 6.5 - 18 km W of Parrita, Costa Rica",6.5,8,8,yellow,1,1153,us,0,0.225,37.0,mww,19.36,9.51,-84.49,"Parrita, Costa Rica",North America,Costa Rica,13,11,2017
"M 7.3 - 29 km S of ?alabja, Iraq",7.3,8,9,red,0,2790,us,0,0.284,33.0,mww,19.0,34.91,45.96,"?alabja, Iraq",Asia,Iran,12,11,2017
"M 6.5 - 67 km WSW of Angoram, Papua New Guinea",6.5,6,5,green,1,661,us,0,4.449,10.0,mww,110.57,-4.24,143.49,"Angoram, Papua New Guinea",Oceania,Papua New Guinea,7,11,2017
"M 6.8 - 97 km NE of Hihifo, Tonga",6.8,5,5,green,1,727,us,0,4.852,21.0,mww,10.0,-15.32,-173.17,"Hihifo, Tonga",Oceania,Tonga,4,11,2017
"M 6.6 - 101 km E of Tadine, New Caledonia",6.6,3,5,green,1,674,us,0,0.788,29.0,mww,22.0,-21.65,168.86,"Tadine, New Caledonia",Europe,France,1,11,2017
"M 6.7 - 132 km E of Tadine, New Caledonia",6.7,3,4,green,1,691,us,0,1.062,55.0,mww,24.0,-21.7,169.15,"Tadine, New Caledonia",Europe,France,31,10,2017
"M 6.7 - 181 km NNE of Maumere, Indonesia",6.7,3,3,green,0,694,us,0,1.634,16.0,mww,553.81,-7.22,123.07,"Maumere, Indonesia",Asia,Indonesia,24,10,2017
"M 6.5 - 247 km ESE of Attu Station, Alaska",6.5,3,5,green,1,651,us,0,1.154,11.0,mww,119.0,52.39,176.77,"Attu Station, Alaska",North America,United States,8,10,2017
"M 7.1 - 1 km S of Matzaco, Mexico",7.1,9,8,,0,1686,us,0,0.984,23.0,mww,48.0,18.55,-98.49,"Matzaco, Mexico",North America,Mexico,19,9,2017
"M 8.2 - near the coast of Chiapas, Mexico",8.2,9,7,red,1,2910,us,0,0.944,22.0,mww,47.39,15.02,-93.9,"Chiapas, Mexico",North America,Mexico,8,9,2017
"M 6.5 - 168 km SW of Mawu, China",6.5,5,7,yellow,0,707,us,0,11.411,22.0,mww,9.0,33.19,103.86,"Mawu, China",Asia,China,8,8,2017
"M 6.6 - 11 km ENE of Kos, Greece",6.6,7,7,yellow,0,1064,us,0,0.913,16.0,mww,7.0,36.93,27.41,"Kos, Greece",Asia,Turkey,20,7,2017
"M 7.7 - Komandorskiye Ostrova, Russia region",7.7,8,7,green,1,918,us,0,3.564,13.0,mww,10.0,54.44,168.86,"Komandorskiye Ostrova, Russia region",Europe,Russian Federation,17,7,2017
"M 6.6 - Auckland Islands, New Zealand region",6.6,5,4,green,1,704,us,0,3.773,37.0,mww,10.0,-49.48,164.02,"Auckland Islands, New Zealand region",Oceania,New Zealand,11,7,2017
"M 6.5 - 2 km S of Lim-oo, Philippines",6.5,9,8,yellow,1,740,us,0,4.139,30.0,mww,9.0,11.13,124.63,"Lim-oo, Philippines",Asia,Philippines,6,7,2017
"M 6.8 - 28 km SW of Puerto San José, Guatemala",6.8,6,6,yellow,1,1034,us,0,1.065,38.0,mww,38.12,13.72,-90.97,"Puerto San José, Guatemala",North America,Guatemala,22,6,2017
"M 6.9 - 2 km SSW of San Pablo, Guatemala",6.9,8,6,yellow,1,1188,us,0,0.247,35.0,mww,93.0,14.91,-92.01,"San Pablo, Guatemala",North America,Guatemala,14,6,2017
"M 6.8 - 200 km NW of Attu Station, Alaska",6.8,0,4,green,1,711,us,0,2.308,12.0,mww,5.0,54.03,170.92,"Attu Station, Alaska",North America,United States,2,6,2017
"M 6.6 - 37 km WNW of Poso, Indonesia",6.6,7,7,green,0,678,us,0,2.353,18.0,mww,12.0,-1.29,120.43,"Poso, Indonesia",Asia,Indonesia,29,5,2017
"M 6.8 - 59 km NNE of Port-Olry, Vanuatu",6.8,6,5,green,1,713,us,0,7.495,19.0,mww,169.0,-14.59,167.38,"Port-Olry, Vanuatu",Oceania,Vanuatu,9,5,2017
"M 6.9 - 31 km SW of Burias, Philippines",6.9,9,6,green,1,814,us,0,1.636,14.0,mww,26.0,5.5,125.07,"Burias, Philippines",Asia,Philippines,28,4,2017
"M 6.9 - 40 km W of Valparaíso, Chile",6.9,9,7,yellow,1,1642,us,0,0.356,39.0,mww,28.0,-33.04,-72.06,"Valparaíso, Chile",South America,Chile,24,4,2017
"M 6.5 - 132 km WSW of Moijabana, Botswana",6.5,7,8,green,0,1297,us,0,2.36,15.0,mww,29.0,-22.68,25.16,"Moijabana, Botswana",Africa,Botswana,3,4,2017
"M 6.6 - 81 km NNE of Ust’-Kamchatsk Staryy, Russia",6.6,6,7,yellow,1,671,us,0,4.591,14.0,mww,17.0,56.94,162.79,"Ust’-Kamchatsk Staryy, Russia",Asia,Russian Federation,29,3,2017
M 6.9 - south of the Fiji Islands,6.9,2,3,green,1,733,us,0,6.012,19.0,mww,414.5,-23.26,-178.8,the Fiji Islands,Oceania,Fiji,24,2,2017
"M 6.5 - 41 km E of Padilla, Bolivia",6.5,3,3,green,0,653,us,0,4.242,14.0,mww,595.98,-19.28,-63.9,"Padilla, Bolivia",South America,Bolivia,21,2,2017
"M 6.5 - 11 km N of Mabua, Philippines",6.5,8,7,yellow,1,718,us,0,2.822,36.0,mww,15.0,9.91,125.45,"Mabua, Philippines",Asia,Philippines,10,2,2017
"M 7.9 - 35 km WNW of Panguna, Papua New Guinea",7.9,9,7,yellow,1,987,us,0,3.625,9.0,mww,135.0,-6.25,155.17,"Panguna, Papua New Guinea",Oceania,Papua New Guinea,22,1,2017
"M 6.5 - 65 km W of Kirakira, Solomon Islands",6.5,6,6,green,1,654,us,0,1.64,21.0,mww,36.0,-10.35,161.34,"Kirakira, Solomon Islands",Oceania,Solomon Islands,19,1,2017
"M 7.3 - 189 km SSE of Tabiauan, Philippines",7.3,6,3,green,1,849,us,0,3.813,18.0,mww,627.17,4.48,122.62,"Tabiauan, Philippines",Asia,Philippines,10,1,2017
"M 6.9 - 225 km SW of Nadi, Fiji",6.9,6,4,green,1,742,us,0,2.495,13.0,mww,12.0,-19.37,176.05,"Nadi, Fiji",Oceania,Fiji,3,1,2017
"M 7.6 - 41 km SW of Quellón, Chile",7.6,9,8,yellow,1,1152,us,0,0.355,29.0,mww,38.0,-43.41,-73.94,"Quellón, Chile",South America,Chile,25,12,2016
"M 6.7 - 151 km NE of Lospalos, Timor Leste",6.7,5,5,green,0,726,us,0,3.38,17.0,mww,152.0,-7.51,127.92,"Lospalos, Timor Leste",Asia,Indonesia,21,12,2016
"M 7.9 - 140 km E of Kokopo, Papua New Guinea",7.9,9,7,yellow,1,972,us,0,1.389,13.0,mww,94.54,-4.5,153.52,"Kokopo, Papua New Guinea",Oceania,Papua New Guinea,17,12,2016
"M 6.9 - 92 km WSW of Kirakira, Solomon Islands",6.9,8,6,green,1,737,us,0,1.747,26.0,mww,19.73,-10.75,161.13,"Kirakira, Solomon Islands",Oceania,Solomon Islands,9,12,2016
"M 6.5 - 79 km WSW of Kirakira, Solomon Islands",6.5,0,5,green,0,650,us,0,1.937,18.0,mww,12.26,-10.84,161.31,"Kirakira, Solomon Islands",Oceania,Solomon Islands,8,12,2016
"M 7.8 - 69 km WSW of Kirakira, Solomon Islands",7.8,9,8,green,1,961,us,0,1.836,13.0,mww,40.0,-10.68,161.33,"Kirakira, Solomon Islands",Oceania,Solomon Islands,8,12,2016
"M 6.6 - 164 km W of Ferndale, California",6.6,5,4,green,1,1120,us,0,1.405,55.0,mww,8.45,40.45,-126.19,"Ferndale, California",North America,United States,8,12,2016
"M 6.5 - 14 km WNW of Reuleuet, Indonesia",6.5,9,8,yellow,0,731,us,0,0.778,27.0,mww,13.0,5.28,96.17,"Reuleuet, Indonesia",Asia,Indonesia,6,12,2016
"M 6.6 - 122 km N of Murghob, Tajikistan",6.6,8,7,green,0,693,us,0,1.697,20.0,mww,17.0,39.27,73.98,"Murghob, Tajikistan",Asia,China,25,11,2016
"M 6.9 - 156 km SSW of Puerto El Triunfo, El Salvador",6.9,5,4,green,1,855,us,0,1.796,20.0,mww,10.0,11.91,-88.9,"Puerto El Triunfo, El Salvador",North America,El Salvador,24,11,2016
"M 6.9 - 35 km ESE of Namie, Japan",6.9,9,6,green,1,1144,us,0,0.671,10.0,mww,9.0,37.39,141.39,"Namie, Japan",Asia,Japan,21,11,2016
"M 6.5 - 74 km NE of Amberley, New Zealand",6.5,7,7,yellow,1,664,us,0,0.283,56.0,mww,9.0,-42.61,173.25,"Amberley, New Zealand",Oceania,New Zealand,14,11,2016
"M 6.5 - 92 km SSW of Blenheim, New Zealand",6.5,6,7,yellow,1,656,us,0,0.135,58.0,mww,10.0,-42.32,173.67,"Blenheim, New Zealand",Oceania,New Zealand,13,11,2016
"M 7.8 - 53 km NNE of Amberley, New Zealand",7.8,9,9,orange,1,1545,us,0,0.481,21.0,mww,15.11,-42.74,173.05,"Amberley, New Zealand",Oceania,New Zealand,13,11,2016
"M 6.6 - 5 km ESE of Preci, Italy",6.6,9,8,red,0,2840,us,0,0.174,25.0,mww,8.0,42.86,13.1,"Preci, Italy",Europe,Italy,30,10,2016
"M 6.6 - 161 km NNE of Pamanukan, Indonesia",6.6,3,3,green,0,677,us,0,2.022,16.0,mww,614.0,-4.86,108.16,"Pamanukan, Indonesia",Asia,Indonesia,19,10,2016
"M 6.8 - 76 km WNW of Kandrian, Papua New Guinea",6.8,3,6,green,1,716,us,0,3.727,11.0,mww,42.0,-6.0,148.89,"Kandrian, Papua New Guinea",Oceania,Papua New Guinea,17,10,2016
M 6.9 - Fiji region,6.9,2,3,green,1,733,us,0,4.051,9.0,mww,596.4,-19.78,-178.24,Fiji region,Oceania,Fiji,24,9,2016
"M 7.0 - 175 km NE of Gisborne, New Zealand",7.0,5,6,green,1,897,us,0,0.698,21.0,mww,19.0,-37.36,179.15,"Gisborne, New Zealand",Oceania,New Zealand,1,9,2016
"M 6.8 - 90 km NE of Rabaul, Papua New Guinea",6.8,4,3,green,1,713,us,0,0.803,12.0,mww,476.0,-3.68,152.79,"Rabaul, Papua New Guinea",Oceania,Papua New Guinea,31,8,2016
"M 6.8 - 26 km W of Chauk, Myanmar",6.8,6,6,yellow,0,981,us,0,1.802,17.0,mww,82.0,20.92,94.57,"Chauk, Myanmar",Asia,Myanmar,24,8,2016
M 7.2 - southeast of the Loyalty Islands,7.2,6,5,green,1,799,us,0,4.823,14.0,mww,16.37,-22.48,173.12,the Loyalty Islands,Europe,France,12,8,2016
"M 7.7 - Pagan region, Northern Mariana Islands",7.7,5,6,green,1,971,us,0,3.294,14.0,mww,196.0,18.54,145.51,"Pagan region, Northern Mariana Islands",North America,United States,29,7,2016
"M 6.6 - 80 km W of Sungai Penuh, Indonesia",6.6,4,6,green,0,671,us,0,2.435,16.0,mww,50.0,-2.1,100.66,"Sungai Penuh, Indonesia",Asia,Indonesia,1,6,2016
"M 6.9 - 24 km NW of Rosa Zarate, Ecuador",6.9,8,7,green,1,780,us,0,1.192,17.0,mww,29.95,0.49,-79.62,"Rosa Zarate, Ecuador",South America,Ecuador,18,5,2016
"M 6.7 - 32 km SE of Muisne, Ecuador",6.7,5,7,green,1,744,us,0,1.352,21.0,mww,16.0,0.43,-79.79,"Muisne, Ecuador",South America,Ecuador,18,5,2016
"M 7.0 - 3 km NW of Norsup, Vanuatu",7.0,7,7,green,1,755,us,0,0.616,14.0,mww,24.0,-16.04,167.38,"Norsup, Vanuatu",Oceania,Vanuatu,28,4,2016
"M 7.8 - 27 km SSE of Muisne, Ecuador",7.8,9,9,orange,1,1163,us,0,1.44,15.0,mww,20.59,0.38,-79.92,"Muisne, Ecuador",South America,Ecuador,16,4,2016
"M 7.0 - 6 km ESE of Kumamoto, Japan",7.0,9,9,red,1,2074,us,0,0.349,32.0,mww,10.0,32.79,130.75,"Kumamoto, Japan",Asia,Japan,15,4,2016
"M 6.9 - 76 km SE of Mawlaik, Myanmar",6.9,6,6,yellow,0,903,us,0,3.001,14.0,mww,136.0,23.09,94.87,"Mawlaik, Myanmar",Asia,Myanmar,13,4,2016
"M 6.6 - 42 km WSW of Ashk?sham, Afghanistan",6.6,6,4,green,0,738,us,0,0.789,17.0,mww,212.0,36.47,71.13,"Ashk?sham, Afghanistan",Asia,Afghanistan,10,4,2016
"M 6.7 - 104 km W of Sola, Vanuatu",6.7,7,5,green,1,692,us,0,6.787,25.0,mww,27.59,-13.98,166.59,"Sola, Vanuatu",Oceania,Vanuatu,7,4,2016
"M 6.7 - 102 km WSW of Sola, Vanuatu",6.7,7,6,green,1,691,us,0,6.697,19.0,mww,24.0,-14.07,166.62,"Sola, Vanuatu",Oceania,Vanuatu,6,4,2016
"M 6.9 - 82 km NNW of Port-Olry, Vanuatu",6.9,7,6,green,1,734,us,0,1.166,25.0,mww,26.0,-14.32,166.86,"Port-Olry, Vanuatu",Oceania,Vanuatu,3,4,2016
"M 7.8 - southwest of Sumatra, Indonesia",7.8,4,3,green,0,948,us,0,7.009,20.0,mww,24.0,-4.95,94.33,"Sumatra, Indonesia",Asia,Indonesia,2,3,2016
"M 7.2 - 80 km S of Mil’kovo, Russia",7.2,3,7,green,1,799,us,0,0.958,17.0,mww,177.0,53.98,158.55,"Mil’kovo, Russia",Asia,Russian Federation,30,1,2016
"M 7.1 - 47 km ESE of Pedro Bay, Alaska",7.1,7,7,green,1,1496,ak,0,0.0,0.0,mw,125.6,59.62,-153.34,"Pedro Bay, Alaska",North America,United States,24,1,2016
"M 6.6 - 203 km SW of La Cruz de Loreto, Mexico",6.6,3,4,green,1,673,us,0,2.413,74.0,mww,10.0,18.82,-106.93,"La Cruz de Loreto, Mexico",North America,Mexico,21,1,2016
"M 6.7 - 52 km SE of Shizunai-furukawach?, Japan",6.7,5,6,green,1,717,us,0,0.281,22.0,mww,46.0,41.97,142.78,"Shizunai-furukawach?, Japan",Asia,Japan,14,1,2016
"M 6.5 - 227 km SE of Sarangani, Philippines",6.5,3,6,green,1,651,us,0,3.144,22.0,mww,13.0,3.9,126.86,"Sarangani, Philippines",Asia,Indonesia,11,1,2016
"M 6.7 - 29 km W of Imph?l, India",6.7,8,7,orange,0,1515,us,0,1.794,16.0,mww,55.0,24.8,93.65,"Imph?l, India",Asia,India,3,1,2016
"M 6.6 - 4 km W of Manuel Ávila Camacho (Ponte Duro), Mexico",6.6,8,6,green,1,765,us,0,0.41,35.0,mww,85.0,15.8,-93.63,"Manuel Ávila Camacho (Ponte Duro), Mexico",North America,Mexico,17,12,2015
"M 6.9 - 107 km SE of Amahai, Indonesia",6.9,8,5,green,0,738,us,0,2.979,14.0,mww,21.0,-4.11,129.51,"Amahai, Indonesia",Asia,Indonesia,9,12,2015
"M 7.2 - 104 km W of Murghob, Tajikistan",7.2,4,7,green,0,827,us,0,1.116,18.0,mww,22.0,38.21,72.78,"Murghob, Tajikistan",Asia,Tajikistan,7,12,2015
"M 6.7 - 125 km SSW of Tarauacá, Brazil",6.7,2,3,green,0,691,us,0,2.033,19.0,mww,602.75,-9.18,-71.26,"Tarauacá, Brazil",South America,Brazil,26,11,2015
